id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,Copacabana,-22.96592,-43.17896,Entire home/apt,500,5,259,2020-12-26,2.03,1,0
25026,Beautiful Modern Decorated Studio in Copa,3746246,Ghizlane,Copacabana,-22.977120000000003,-43.19045,Entire home/apt,160,7,238,2020-02-15,1.85,11,335
35636,Cosy flat close to Ipanema beach,153232,Patricia,Ipanema,-22.98816,-43.19359,Entire home/apt,259,2,181,2020-03-15,2.07,1,267
35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,153691,Patricia Miranda & Paulo,Copacabana,-22.981270000000002,-43.190459999999995,Entire home/apt,157,3,346,2020-12-20,2.78,1,89
41198,"Modern 2bed,Top end of Copacabana",178975,Nicky,Copacabana,-22.97962,-43.1923,Entire home/apt,1035,3,18,2016-02-09,0.19,2,365
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,Ipanema,-22.98414,-43.1945,Private room,104,3,42,2019-08-08,1.1,1,63
48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,Copacabana,-22.96574,-43.17514,Entire home/apt,1718,4,4,2020-03-08,0.06,2,133
49179,Djalma Ocean View Studio with Amazing Views #100A,224192,David,Copacabana,-22.9791,-43.19008,Entire home/apt,250,3,88,2020-11-09,0.89,39,156
51703,"Ocean view, block of the beach, Copacabana,Ipanema",238091,Dália,Copacabana,-22.981279999999998,-43.190909999999995,Entire home/apt,287,3,170,2020-12-20,2.03,2,0
64795,Ipanema amazing 2 BDRs apartment.,93005,Andrea,Ipanema,-22.98178,-43.200759999999995,Entire home/apt,743,2,12,2017-01-09,0.1,1,365
66574,Beach apart in Rio (January/February 2020),326301,Frederic,Flamengo,-22.928729999999998,-43.17473,Entire home/apt,180,4,1,2016-08-24,0.02,1,322
66797,Studio Apart  for rent in ipanema.,328096,Carlos,Ipanema,-22.98463,-43.19563,Entire home/apt,177,3,202,2020-12-14,1.7,3,232
68422,Copacabana Beach Living+AirConWiFi,339264,David,Copacabana,-22.98498,-43.19135,Private room,409,4,79,2017-11-22,0.65,1,90
70080,Apart-hotel in Ipanema with service and garage,319672,Valeria,Ipanema,-22.9854,-43.196020000000004,Entire home/apt,359,2,370,2020-12-04,3.4,5,249
73581,Studio Between Ipanema/Copacabana,384673,Pedro,Copacabana,-22.98027,-43.19255,Entire home/apt,458,3,143,2020-02-26,1.2,1,120
75585,Copacabana 2 BR Penthouse Duplex,401375,Stefan,Copacabana,-22.98238,-43.193659999999994,Entire home/apt,378,5,101,2020-02-24,0.85,1,246
76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,Santa Teresa,-22.92875,-43.19341,Private room,261,1,213,2020-03-07,1.98,6,0
76961,Tiny House in Lapa,411441,Marcelle,Santa Teresa,-22.91431,-43.19081,Entire home/apt,52,2,94,2020-03-26,0.79,1,0
77318,❤Unique RIO | retreat w/ forest view in hot spot,110002,Silvia,Gávea,-22.97629,-43.23145,Entire home/apt,146,5,35,2020-03-08,0.37,1,84
80145,Stay in a small imperial castle !,432777,Andreas,Santa Teresa,-22.92519,-43.191179999999996,Private room,192,2,14,2019-10-06,0.14,2,360
85807,Ipanema Copa Flat,470565,Sebastian,Copacabana,-22.98525,-43.19247,Entire home/apt,385,2,4,2020-10-12,0.34,6,279
86670,AMAZING VIEW ON THE LEBLON/IPANEMA BOARDER.,474221,June,Leblon,-22.983610000000002,-43.218270000000004,Entire home/apt,672,2,80,2020-12-07,0.84,7,337
87202,Condomínio Villagio do Campo IV,477755,Fabio,Campo Grande,-22.88756,-43.59413,Entire home/apt,270,2,21,2020-10-24,0.4,1,360
87762,Flat Top em Ipanema à 150 metros da praia,480527,Caio,Ipanema,-22.98386,-43.21383,Entire home/apt,143,2,15,2020-02-14,0.38,1,177
88528,COZY APARTAMENT ON THE COPACABANA BEACH BLOCK.,474221,June,Copacabana,-22.97794,-43.18969,Entire home/apt,470,2,65,2020-11-22,0.58,7,222
88781,» 30% Off « Beach 50m & Metro > 5 min!!,474221,June,Copacabana,-22.97456,-43.18807,Entire home/apt,336,2,47,2020-03-04,0.49,7,203
89454,Charm with a great location Leblon,487000,Patricia,Leblon,-22.98668,-43.221709999999995,Entire home/apt,686,2,40,2020-02-16,0.41,3,0
89862,BL27 ·NO MELHOR LUGAR DE COPACABANA,474221,June,Copacabana,-22.97607,-43.18926,Entire home/apt,448,2,45,2020-11-02,0.46,7,337
89981,IPANEMA  QUARTO + BANHEIRO PRIVADO,488707,Celia,Ipanema,-22.9827,-43.2004,Private room,355,3,167,2020-02-27,1.53,1,326
90907,COPACABANA Best Location! - 3 min from 🏖️,484054,Cleuber,Copacabana,-22.97839,-43.19108,Entire home/apt,197,2,2,2019-12-29,0.15,1,206
92107,Lovely room in Jardim Botânico,496230,Leonor,Humaitá,-22.95701,-43.20293,Private room,190,2,6,2020-02-26,0.06,1,0
92549,Butterfly Vanazul Guest House,497786,Butterfly Vanazul,São Conrado,-22.998929999999998,-43.27047,Shared room,104,1,1,2014-04-22,0.01,5,0
94895,temporada,506187,Sheila,Copacabana,-22.970489999999998,-43.18923,Private room,180,1,7,2020-02-25,0.12,3,362
96431,Amazing ocean view !,511850,Marina E Ernani,Barra da Tijuca,-23.011589999999998,-43.36925,Entire home/apt,533,4,49,2020-12-04,0.52,2,294
97636,Rio de Janeiro for you! Go for it!,496656,Marcia  Longras,Botafogo,-22.941689999999998,-43.18703,Private room,188,8,17,2019-10-07,0.16,10,365
99547,Lapa Archs | Santa Teresa best studio for 2 people,524101,Fabiana,Centro,-22.91408,-43.18233,Entire home/apt,174,4,60,2020-02-25,0.63,3,157
99971,Right in front of the beach in Rio!,525976,Ricardo,Vidigal,-22.99,-43.22697,Entire home/apt,811,3,107,2020-02-20,0.94,1,331
106372,Reveillon & Natal na Barra da Tijuca. Rj,551316,Katia,Barra da Tijuca,-23.0089,-43.43049,Entire home/apt,450,4,7,2020-02-26,0.13,1,301
108072,Nice 1 BR Apartment in Copacabana,521514,Chris,Copacabana,-22.983220000000003,-43.190870000000004,Entire home/apt,388,3,144,2020-12-06,1.23,1,321
